"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","claim_created_at","claim_name_in_native_language","claim_company_website","claim_company_phone","claim_point_of_contact","claim_point_of_contact_email","claim_office_name","claim_office_address","claim_office_country_code","claim_office_phone_number","claim_description","claim_certifications_standards_regulations","claim_affiliations","claim_minimum_order_quantity","claim_average_lead_time","claim_female_workers_percentage","claim_industry_sectors","claim_location_types","claim_other_location_type","claim_product_types","claim_processing_types","claim_parent_company","claim_number_of_workers","claim_opening_date","claim_closing_date","claim_estimated_annual_throughput_kg_year","claim_energy_coal_j","claim_energy_natural_gas_j","claim_energy_diesel_j","claim_energy_kerosene_j","claim_energy_biomass_j","claim_energy_charcoal_j","claim_energy_animal_waste_j","claim_energy_electricity_mwh","claim_energy_other_j","is_closed","accord_inspections_and_remediation_program.rsc_presence","accord_inspections_and_remediation_program.first_inspection_date","amfori_compliance_status.bsci_audit.expiration_date","amfori_compliance_status.bsci_audit.submission_date","amfori_compliance_status.bepi_audit.expiration_date","amfori_compliance_status.bepi_audit.submission_date","amfori_compliance_status.environmental_risk_assessment.completion_date","amfori_compliance_status.environmental_risk_assessment.expiration_date","climate_trace_emissions.estimated_emissions","climate_trace_emissions.estimated_annual_throughput","climate_trace_emissions.emissions_model","estimated_emissions","labor_solutions_grievance_mechanism.wovo_active","labor_solutions_grievance_mechanism.wovo_active_date","labor_solutions_grievance_mechanism.thematic_coverage","labor_solutions_grievance_mechanism.mechanism_type_ownership","labor_solutions_grievance_mechanism.access_modality","labor_solutions_grievance_mechanism.coverage","rsc_grievance_mechanism.status","rsc_grievance_mechanism.thematic_coverage","rsc_grievance_mechanism.mechanism_type_ownership","rsc_grievance_mechanism.access_modality","rsc_grievance_mechanism.coverage","slcp_assessment.most_recent_assessment_status","slcp_assessment.most_recent_assessment_date","slcp_assessment.assessment_platform","slcp_assessment.verifier_body","slcp_assessment.slcp_facility_id","ulula_grievance_mechanism.status","ulula_grievance_mechanism.start_date","ulula_grievance_mechanism.end_date","ulula_grievance_mechanism.thematic_coverage","ulula_grievance_mechanism.mechanism_type_ownership","ulula_grievance_mechanism.access_modality","ulula_grievance_mechanism.coverage","worldly_assessment_data.fem_assessment.last_date","worldly_assessment_data.fem_assessment.reporting_year","worldly_assessment_data.fem_assessment.verification_status","wrap_certification.certification_status","wrap_certification.issue_date","wrap_certification.expiration_date","mit_living_wage.county_link","mit_living_wage.county_link_text","wage_indicator.living_wage_link_national","wage_indicator.living_wage_link_national_text","wage_indicator.minimum_wage_link_english","wage_indicator.minimum_wage_link_english_text","wage_indicator.minimum_wage_link_national","wage_indicator.minimum_wage_link_national_text"
"AU20242358E7E6S","2024-08-22","Vantiva Supply Chain Solutions - Braeside","9 DeHavilland Rd, Braeside, Victoria 3195","AU","Australia",-37.9866824,145.1002862,"Unspecified","A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|A Civil Society Organization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://mywage.org/australia/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/australia","View Minimum Wage in English","https://mywage.org/australia/salary/minimum-wage","View Minimum Wage in national language"
"AU2024235WCWS7C","2024-08-22","Vantiva Supply Chain Solutions - Prestons","68 Jedda Road, Prestons, New South Wales 2170","AU","Australia",-33.9351594,150.8854895,"Unspecified","A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|A Civil Society Organization|A Civil Society Organization|The Walt Disney Company (The Walt Disney Company Facility List 2024)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://mywage.org/australia/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/australia","View Minimum Wage in English","https://mywage.org/australia/salary/minimum-wage","View Minimum Wage in national language"
"BE20243252K0JVV","2024-11-20","DHL SUPPLY CHAIN (Belgium)","Oude Sluisweg (WIN) 32, 2880 Bornem, Antwerp, Flanders","BE","Belgium",51.1018236,4.3184941,"Food & Beverage","European Commission: TRACES – TRAde Control and Expert System [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://wageindicator.org/nl-be/werk-in-belgie/leefbaar-loon","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/belgium","View Minimum Wage in English","https://votresalaire.be/salaire/salaire-minimum","View Minimum Wage in national language"
"BR20241214N9MRE","2024-04-29","SUPPLY CHAIN ARMAZÉS GERAIS LTDA. - Bateria de Silos (Silo Range)","RODOVIA BR 020 KM 18 S/N, Formosa, Goiás","BR","Brazil",-15.55611,-47.2008,"Agriculture|Commodities|Crop Production|Farming|Food Industry|Food Manufacturing|Storage","SICARM - Sistema de Cadastro National de Unidades Armazenadoras / National Registration System for Storage Units (SICARM) [Public List] (SICARM 6XL)|SICARM - Sistema de Cadastro National de Unidades Armazenadoras / National Registration System for Storage Units (SICARM) [Public List] (SICARM - Sistema de Cadastro National de Unidades Armazenadoras April 2024 Facility List - 2)|SICARM - Sistema de Cadastro National de Unidades Armazenadoras / National Registration System for Storage Units (SICARM) [Public List] (SICARM - 11)","","","Warehousing / Distribution, Storage, Silo Range, Bateria de Silos","","Storage|Warehousing Distribution|Bateria de Silos|Silo Range|Warehousing Distribution|Silo Range|Storage|Bateria de Silos|Bateria de Silos|Silo Range|Warehousing Distribution|Storage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://meusalario.org.br/salario-e-renda/salarios-dignos","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/brazil","View Minimum Wage in English","https://wageindicator.org/pt-br/trabalho-em-brasil/salario-minimo/","View Minimum Wage in national language"
"BR2024121QY49PR","2024-04-29","SUPPLY CHAIN ARMAZÉS GERAIS LTDA. - Convencional (Conventional)","RODOVIA BR 020 KM 18 S/N, Formosa, Goiás","BR","Brazil",-15.55654,-47.19892,"Agriculture|Commodities|Crop Production|Farming|Food Industry|Food Manufacturing|Storage","SICARM - Sistema de Cadastro National de Unidades Armazenadoras / National Registration System for Storage Units (SICARM) [Public List] (SICARM 7XL)|SICARM - Sistema de Cadastro National de Unidades Armazenadoras / National Registration System for Storage Units (SICARM) [Public List] (SICARM - Sistema de Cadastro National de Unidades Armazenadoras April 2024 Facility List - 2)|SICARM - Sistema de Cadastro National de Unidades Armazenadoras / National Registration System for Storage Units (SICARM) [Public List] (SICARM - 12)","","","Warehousing / Distribution, Storage","","Storage|Warehousing Distribution|Warehousing Distribution|Storage|Storage|Warehousing Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://meusalario.org.br/salario-e-renda/salarios-dignos","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/brazil","View Minimum Wage in English","https://wageindicator.org/pt-br/trabalho-em-brasil/salario-minimo/","View Minimum Wage in national language"
"BR2025263H2ED5V","2025-09-20","SUPPLY CHAIN ARMAZENS GERAIS LTDA","FAZENDA RODOVIA BR 365 KM 442, FAZENDA SERROTE SERRA, GUIMARANIA - MG, 38730000","BR","Brazil",-18.7986549,-46.748523,"Warehousing","Brazil National Registry of Legal Entities / Brasil Cadastro Nacional de Pessoas Jurídicas (CNPJ) [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://meusalario.org.br/salario-e-renda/salarios-dignos","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/brazil","View Minimum Wage in English","https://wageindicator.org/pt-br/trabalho-em-brasil/salario-minimo/","View Minimum Wage in national language"
"BR20252681T38WF","2025-09-25","UPGYM SUPPLEMENT SUPPLY CHAIN LTDA","RUA 2 DV SN, DIARIO VILLE 1, RIO CLARO - SP, 13503560","BR","Brazil",-22.4249173,-47.5835559,"Food|Food & Beverage|Food Industry|Food Manufacturing","Brazil National Registry of Legal Entities / Brasil Cadastro Nacional de Pessoas Jurídicas (CNPJ) [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://meusalario.org.br/salario-e-renda/salarios-dignos","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/brazil","View Minimum Wage in English","https://wageindicator.org/pt-br/trabalho-em-brasil/salario-minimo/","View Minimum Wage in national language"
"BR2025293HERJ0M","2025-10-20","SUPPLY CHAIN SERVICOS LTDA","PRACA VERA CRUZ 00010, GALPAO, PENHA, RIO DE JANEIRO - RJ, 21020180","BR","Brazil",-22.8289788,-43.2741909,"Construction|Wholesale Trade","Brazil National Registry of Legal Entities / Brasil Cadastro Nacional de Pessoas Jurídicas (CNPJ) [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://meusalario.org.br/salario-e-renda/salarios-dignos","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/brazil","View Minimum Wage in English","https://wageindicator.org/pt-br/trabalho-em-brasil/salario-minimo/","View Minimum Wage in national language"
"BR20252953S6W0B","2025-10-22","TECHWIND SUPPLY CHAIN SOLUTIONS LTDA","RUA CORONEL NOGUEIRA PADILHA 2595, GALPAO 17, VILA HORTENCIA, SOROCABA - SP, 18020000","BR","Brazil",-23.5133261,-47.42991259999999,"Manufacturing|Wholesale Trade","Brazil National Registry of Legal Entities / Brasil Cadastro Nacional de Pessoas Jurídicas (CNPJ) [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://meusalario.org.br/salario-e-renda/salarios-dignos","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/brazil","View Minimum Wage in English","https://wageindicator.org/pt-br/trabalho-em-brasil/salario-minimo/","View Minimum Wage in national language"
"CA2024241DHR49P","2024-08-27","Seaforth Supply Chain Solution Inc.","7167 Progress Way V4G 1K8 Delta, Canada","CA","Canada",49.1339028,-123.0278695,"Food Industry|Trucking|Warehousing","Ecocert [Public List] (Ecocert [Canada] Facility List 3 - Aug 2024)|Ecocert [Public List] (Ecocert [Canada] Facility List 2 - Aug 2024)","","","Handler | Manufacturer | Processor","","Processor|Manufacturer|Handler"," Plants | Logistics | Processes| Derived Products ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://mywage.ca/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/canada","View Minimum Wage in English","https://wageindicator.org/en-ca/work-in-canada/minimum-wage","View Minimum Wage in national language"
